1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Paimenpoika,100;Paimenpoika,100;Paimenpoika,90;Paimenpoika,70;Paimenpoika,40;Paimenpoika,20;Paimenpoika,10;-,0;-,0;-,0;-,0
Huutolaispoika,60;Huutolaispoika,50;Huutolaispoika,40;Huutolaispoika,20;Huutolaispoika,10;-,0;-,0;-,0;-,0;-,0;-,0
Juoksupoika,10;Juoksupoika,20;Juoksupoika,40;Juoksupoika,60;Juoksupoika,80;Juoksupoika,100;Juoksupoika,100;Juoksupoika,100;Juoksupoika,80;Lähetti,70;Lähetti,60
Laukkupoika,20;Laukkupoika,25;Laukkupoika,30;Laukkupoika,30;Laukkupoika,20;-,0;-,0;-,0;-,0;-,0;-,0
Sanomalehtipoika,0;-,0;Sanomalehtipoika,10;Sanomalehtipoika,30;Sanomalehtipoika,50;Sanomalehtipoika,70;Sanomalehtipoika,80;Sanomalehtipoika,90;Sanomalehtipoika,80;Sanomalehtipoika,60;Sanomalehtipoika,40
Tallipoika,50;Tallipoika,50;Tallipoika,50;Tallipoika,40;Tallipoika,30;Tallipoika,20;Tallipoika,10;-,0;-,0;-,0;-,0
Pikkurenki,80;Pikkurenki,80;Pikkurenki,70;Pikkurenki,60;Pikkurenki,50;Pikkurenki,40;Maatalousapulainen,50;Maatalousapulainen,60;Maatalousapulainen,60;Maatalousapulainen,40;Maatalousapulainen,20
Kengänkiillottaja,5;Kengänkiillottaja,10;Kengänkiillottaja,20;Kengänkiillottaja,30;Kengänkiillottaja,40;Kengänkiillottaja,40;Kengänkiillottaja,30;Kengänkiillottaja,10;-,0;-,0;-,0
Tehdapoika,10;Tehdapoika,20;Tehdapoika,40;Tehdapoika,60;Tehdapoika,80;Tehdapoika,70;Teollisuusapulainen,60;Teollisuusapulainen,50;-,0;-,0;-,0
Sahanpoika,10;Sahanpoika,20;Sahanpoika,40;Sahanpoika,60;Sahanpoika,60;Sahanpoika,40;-,0;-,0;-,0;-,0;-,0
Tukkipoika,10;Tukkipoika,20;Tukkipoika,40;Tukkipoika,60;Tukkipoika,80;Tukkipoika,80;Tukkipoika,70;Tukkipoika,50;Tukkipoika,30;Tukkipoika,10;-,0
Oppipoika,40;Oppipoika,45;Oppipoika,50;Oppipoika,60;Oppipoika,70;Oppipoika,80;Harjoittelija,90;Harjoittelija,100;Harjoittelija,100;Harjoittelija,100;Harjoittelija,100
Apupoika,20;Apupoika,30;Apupoika,40;Apupoika,60;Apupoika,80;Apupoika,100;Apupoika,100;Apupoika,100;Apupoika,100;Apupoika,100;Apupoika,100
