1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Paimentyttö,100;Paimentyttö,100;Paimentyttö,90;Paimentyttö,70;Paimentyttö,40;Paimentyttö,10;-,0;-,0;-,0;-,0;-,0
Pikkupiika,100;Pikkupiika,100;Pikkupiika,100;Pikkupiika,90;Pikkupiika,80;Pikkupiika,60;Pikkupiika,40;Kotiapulainen,50;Kotiapulainen,70;Kotiapulainen,50;Kotiapulainen,30
Huutolaistyttö,60;Huutolaistyttö,50;Huutolaistyttö,40;Huutolaistyttö,20;Huutolaistyttö,10;-,0;-,0;-,0;-,0;-,0;-,0
Lastenhoitaja,50;Lastenhoitaja,60;Lastenhoitaja,70;Lastenhoitaja,80;Lastenhoitaja,90;Lastenhoitaja,100;Lastenhoitaja,100;Lastenhoitaja,100;Lastenhoitaja,90;Lastenhoitaja,80;Lastenhoitaja,70
Kehruutyttö,40;Kehruutyttö,45;Kehruutyttö,40;Kehruutyttö,30;Kehruutyttö,10;-,0;-,0;-,0;-,0;-,0;-,0
Kutoja-apulainen,30;Kutoja-apulainen,40;Kutoja-apulainen,50;Kutoja-apulainen,60;Kutoja-apulainen,60;Tekstiiliapulainen,50;Tekstiiliapulainen,40;-,0;-,0;-,0;-,0
Ompelijaoppilas,20;Ompelijaoppilas,30;Ompelijaoppilas,40;Ompelijaoppilas,50;Ompelijaoppilas,70;Ompelijaoppilas,80;Ompelijaoppilas,90;Ompelijaoppilas,100;Vaatetusapulainen,80;Vaatetusapulainen,60;Vaatetusapulainen,40
Pyykkiapulainen,40;Pyykkiapulainen,40;Pyykkiapulainen,40;Pyykkiapulainen,35;Pyykkiapulainen,30;Pyykkiapulainen,20;Pesula-apulainen,30;Pesula-apulainen,40;Pesula-apulainen,50;Pesula-apulainen,40;-,0
Keittiötyttö,30;Keittiötyttö,40;Keittiötyttö,50;Keittiötyttö,60;Keittiötyttö,80;Keittiötyttö,90;Keittiöapulainen,100;Keittiöapulainen,100;Keittiöapulainen,100;Keittiöapulainen,100;Keittiöapulainen,100
Juoksutyttö,5;Juoksutyttö,10;Juoksutyttö,20;Juoksutyttö,40;Juoksutyttö,60;Juoksutyttö,80;Juoksutyttö,90;Juoksutyttö,100;Lähettityttö,80;Lähettityttö,60;-,0
Kauppatyttö,0;-,0;Kauppatyttö,10;Kauppatyttö,25;Kauppa-apulainen,50;Kauppa-apulainen,70;Kauppa-apulainen,90;Kauppa-apulainen,100;Kauppa-apulainen,100;Myymäläharjoittelija,100;Myymäläharjoittelija,100
Koululainen,5;Koululainen,10;Koululainen,25;Koululainen,45;Koululainen,70;Koululainen,90;Koululainen,100;Koululainen,100;Koululainen,100;Koululainen,100;Koululainen,100
Oppilas,10;Oppilas,15;Oppilas,20;Oppilas,35;Oppilas,55;Oppilas,75;Oppilas,95;Oppilas,100;Oppilas,100;Oppilas,100;Oppilas,100
Kotiapulainen,20;Kotiapulainen,30;Kotiapulainen,40;Kotiapulainen,60;Kotiapulainen,80;Kotiapulainen,100;Kotiapulainen,100;Kotiapulainen,100;Kotiapulainen,100;Kotiapulainen,100;Kotiapulainen,100
Karja-apulainen,50;Karja-apulainen,55;Karja-apulainen,60;Karja-apulainen,60;Karja-apulainen,50;Karja-apulainen,40;Karja-apulainen,30;Karja-apulainen,20;Karja-apulainen,10;-,0;-,0
Meijeriapulainen,5;Meijeriapulainen,10;Meijeriapulainen,20;Meijeriapulainen,35;Meijeriapulainen,45;Meijeriapulainen,40;Meijeriapulainen,30;-,0;-,0;-,0;-,0
Tulitikkutyttö,10;Tulitikkutyttö,20;Tulitikkutyttö,40;Tulitikkutyttö,50;Tulitikkutyttö,40;Tulitikkutyttö,20;-,0;-,0;-,0;-,0;-,0
Tehdastyttö,5;Tehdastyttö,15;Tehdastyttö,35;Tehdastyttö,60;Tehdastyttö,80;Tehdastyttö,80;Teollisuusharjoittelija,70;Teollisuusharjoittelija,60;Teollisuusharjoittelija,50;-,0;-,0
Tupakkatehtaan tyttö,10;Tupakkatehtaan tyttö,20;Tupakkatehtaan tyttö,30;Tupakkatehtaan tyttö,35;Tupakkatehtaan tyttö,30;-,0;-,0;-,0;-,0;-,0;-,0
Marjanpoimija,40;Marjanpoimija,40;Marjanpoimija,45;Marjanpoimija,45;Marjanpoimija,40;Marjanpoimija,40;Marjanpoimija,35;Marjanpoimija,30;Marjanpoimija,25;Marjanpoimija,20;Marjanpoimija,20
