1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Torppari,100;Torppari,100;Torppari,100;Torppari,90;Torppari,70;Torppari,40;Torppari,10;-,0;-,0;-,0;-,0
Renki,100;Renki,100;Renki,95;Renki,85;Renki,70;Renki,60;Renki,40;Renki,30;Renki,20;Renki,10;Renki,5
Mäkitupalainen,80;Mäkitupalainen,80;Mäkitupalainen,75;Mäkitupalainen,70;Mäkitupalainen,50;Mäkitupalainen,30;Pienviljelijä,50;Pienviljelijä,80;Pienviljelijä,100;Pienviljelijä,90;Pienviljelijä,70
Ruotusotamies,80;Ruotusotamies,20;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Seppä,80;Seppä,80;Seppä,75;Seppä,70;Seppä,60;Seppä,50;Seppä,40;Seppä,30;Mekaanikko,60;Mekaanikko,80;Mekaanikko,100
Mylläri,40;Mylläri,40;Mylläri,40;Mylläri,40;Mylläri,35;Mylläri,30;Mylläri,20;Mylläri,15;Mylläri,10;Mylläri,5;Mylläri,2
Suutari,70;Suutari,70;Suutari,65;Suutari,60;Suutari,50;Suutari,40;Suutari,30;Suutari,20;Kenkätyöntekijä,30;Kenkätyöntekijä,40;Kenkätyöntekijä,40
Räätäli,60;Räätäli,60;Räätäli,55;Räätäli,50;Räätäli,40;Räätäli,30;Räätäli,20;Räätäli,15;Vaatetustyöntekijä,30;Vaatetustyöntekijä,50;Vaatetustyöntekijä,60
Nahkuri,40;Nahkuri,40;Nahkuri,35;Nahkuri,30;Nahkuri,20;Nahkuri,15;Nahkuri,10;-,0;-,0;-,0;-,0
Metsätyömies,40;Metsätyömies,50;Metsätyömies,70;Metsätyömies,100;Metsätyömies,100;Metsätyömies,100;Metsätyömies,100;Metsätyömies,90;Metsuri,80;Metsuri,90;Metsuri,100
Uittomies,20;Uittomies,30;Uittomies,50;Uittomies,80;Uittomies,100;Uittomies,100;Uittomies,80;Uittomies,60;Uittomies,40;Uittomies,20;Uittomies,10
Sahanasettaja,10;Sahanasettaja,20;Sahanasettaja,50;Sahanasettaja,80;Sahanasettaja,100;Sahanasettaja,100;Sahanasettaja,90;Sahanasettaja,80;Sahatyöntekijä,70;Sahatyöntekijä,60;Sahatyöntekijä,50
-,0;-,0;-,0;Koneenkäyttäjä,40;Koneenkäyttäjä,60;Koneenkäyttäjä,80;Koneistaja,80;Koneistaja,90;Koneistaja,100;Koneistaja,100;Koneistaja,100
-,0;Veturinkuljettaja,5;Veturinkuljettaja,15;Veturinkuljettaja,30;Veturinkuljettaja,50;Veturinkuljettaja,70;Veturinkuljettaja,80;Veturinkuljettaja,90;Veturinkuljettaja,100;Veturinkuljettaja,100;Veturinkuljettaja,90
-,0;Lämmittäjä,5;Lämmittäjä,20;Lämmittäjä,40;Lämmittäjä,50;Lämmittäjä,60;Lämmittäjä,60;Lämmittäjä,40;-,0;-,0;-,0
-,0;Ratavartija,10;Ratavartija,40;Ratavartija,80;Ratavartija,100;Ratavartija,90;Ratavartija,70;Ratavartija,50;Ratavartija,30;Ratavartija,10;-,0
-,0;Konduktööri,5;Konduktööri,15;Konduktööri,30;Konduktööri,50;Konduktööri,60;Konduktööri,70;Konduktööri,80;Konduktööri,90;Konduktööri,100;Konduktööri,100
Merimies,80;Merimies,80;Merimies,80;Merimies,80;Merimies,80;Merimies,70;Merimies,60;Merimies,50;Merimies,50;Merimies,40;Merimies,30
Perämies,20;Perämies,20;Perämies,25;Perämies,30;Perämies,35;Perämies,40;Perämies,40;Perämies,40;Perämies,40;Perämies,40;Perämies,40
Majakanvartija,10;Majakanvartija,10;Majakanvartija,15;Majakanvartija,15;Majakanvartija,15;Majakanvartija,10;Majakanvartija,10;Majakanvartija,5;Majakanvartija,5;Majakanvartija,2;Majakanvartija,2
Kalastaja,60;Kalastaja,60;Kalastaja,60;Kalastaja,60;Kalastaja,60;Kalastaja,55;Kalastaja,50;Kalastaja,45;Kalastaja,40;Kalastaja,35;Kalastaja,30
Poliisimies,20;Poliisimies,30;Poliisikonstaapeli,40;Poliisikonstaapeli,50;Poliisikonstaapeli,60;Poliisikonstaapeli,70;Poliisikonstaapeli,80;Poliisikonstaapeli,90;Poliisikonstaapeli,100;Poliisikonstaapeli,100;Poliisikonstaapeli,100
Palovartija,15;Palovartija,20;Palomies,30;Palomies,40;Palomies,50;Palomies,60;Palomies,70;Palomies,80;Palomies,90;Palomies,100;Palomies,100
Postinkantaja,10;Postinkantaja,20;Postinkantaja,30;Postinkantaja,40;Postinkantaja,50;Postinkantaja,60;Postinkantaja,70;Postinkantaja,80;Postinkantaja,90;Postinkantaja,100;Postinkantaja,100
-,0;-,0;-,0;-,0;Shofööri,5;Shofööri,20;Shofööri,40;Autonkuljettaja,70;Autonkuljettaja,100;Autonkuljettaja,100;Autonkuljettaja,100
-,0;-,0;-,0;-,0;-,0;-,0;Linja-autonkuljettaja,30;Linja-autonkuljettaja,60;Linja-autonkuljettaja,80;Linja-autonkuljettaja,100;Linja-autonkuljettaja,100
-,0;-,0;Mekaanikko,5;Mekaanikko,10;Mekaanikko,20;Mekaanikko,40;Mekaanikko,60;Automekaanikko,80;Automekaanikko,100;Automekaanikko,100;Automekaanikko,100
-,0;-,0;-,0;Sähköasentaja,5;Sähköasentaja,15;Sähköasentaja,30;Sähköasentaja,50;Sähköasentaja,70;Sähköasentaja,90;Sähköasentaja,100;Sähköasentaja,100
-,0;-,0;-,0;-,0;-,0;-,0;Radiosähköttäjä,20;Radiosähköttäjä,40;Radiomekaanikko,60;Radiomekaanikko,80;Radiomekaanikko,100
Pankkiiri,2;Pankkiiri,5;Pankinjohtaja,10;Pankinjohtaja,15;Pankinjohtaja,25;Pankinjohtaja,30;Pankinjohtaja,40;Pankinjohtaja,50;Pankinjohtaja,60;Pankinjohtaja,70;Pankinjohtaja,80
Kauppias,40;Kauppias,45;Kauppias,50;Kauppias,60;Kauppias,70;Kauppias,80;Kauppias,85;Kauppias,90;Kauppias,95;Kauppias,100;Kauppias,100
