1860;1870;1880;1890;1900;1910;1920;1930;1940;1950;1960
Piika,100;Piika,100;Piika,100;Piika,90;Piika,80;Piika,60;Piika,40;Kotiapulainen,50;Kotiapulainen,60;Kotiapulainen,40;Kotiapulainen,20
Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,90;Emäntä,80;Emäntä,70
Kylännuori,40;Kylännuori,40;Kylännuori,30;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Itsellinen,60;Itsellinen,60;Itsellinen,50;Itsellinen,40;Itsellinen,20;Sekatyöntekijä,30;Sekatyöntekijä,40;-,0;-,0;-,0;-,0
Meijerikkö,10;Meijerikkö,15;Meijerikkö,30;Meijerikkö,50;Meijerikkö,60;Meijerikkö,60;Meijerikkö,50;Meijerikkö,40;Meijerinhoitaja,40;Meijerityöntekijä,40;Meijerityöntekijä,30
Karjapiika,70;Karjapiika,70;Karjapiika,70;Karjapiika,70;Karjakko,80;Karjakko,90;Karjakko,90;Karjakko,80;Karjakko,60;Karjakko,40;Karjakko,20
Kutoja,50;Kutoja,50;Kutoja,60;Kutoja,80;Kutoja,100;Kutoja,100;Tekstiilityöntekijä,90;Tekstiilityöntekijä,90;Tekstiilityöntekijä,100;Tekstiilityöntekijä,100;Tekstiilityöntekijä,90
Ompelija,40;Ompelija,40;Ompelija,50;Ompelija,70;Ompelija,90;Ompelija,100;Ompelija,100;Ompelija,100;Ompelija,90;Vaatetustyöntekijä,80;Vaatetustyöntekijä,70
Modisti,5;Modisti,10;Modisti,20;Modisti,30;Modisti,30;Modisti,20;-,0;-,0;-,0;-,0;-,0
Pyykkäri,50;Pyykkäri,50;Pyykkäri,50;Pyykkäri,40;Pyykkäri,30;Pyykkäri,20;Pesulatyöntekijä,30;Pesulatyöntekijä,50;Pesulatyöntekijä,60;Pesulatyöntekijä,70;Pesulatyöntekijä,80
Silitysmuori,20;Silitysmuori,20;Silittäjä,30;Silittäjä,40;Silittäjä,40;Silittäjä,30;Silittäjä,20;-,0;-,0;-,0;-,0
Keittäjä,30;Keittäjä,30;Keittäjä,40;Keittäjä,60;Keittäjä,80;Keittäjä,90;Keittäjä,100;Keittäjä,100;Ravitsemustyöntekijä,90;Ravitsemustyöntekijä,90;Ravitsemustyöntekijä,100
Kätilö,10;Kätilö,15;Kätilö,25;Kätilö,40;Kätilö,60;Kätilö,80;Kätilö,90;Kätilö,100;Kätilö,100;Kätilö,100;Kätilö,100
Kupari,30;Kupari,20;Kuppari,15;Kuppari,10;Kuppari,5;-,0;-,0;-,0;-,0;-,0;-,0
Hieroja,5;Hieroja,10;Hieroja,15;Hieroja,20;Hieroja,30;Hieroja,40;Hieroja,50;Hieroja,60;Lääkintävoimistelija,40;Fysioterapeutti,30;Fysioterapeutti,50
Sairaanhoitaja,0;Sairaanhoitaja,5;Sairaanhoitaja,15;Sairaanhoitaja,30;Sairaanhoitaja,50;Sairaanhoitaja,70;Sairaanhoitaja,90;Sairaanhoitaja,100;Sairaanhoitaja,100;Sairaanhoitaja,100;Sairaanhoitaja,100
Koulunopettaja,5;Koulunopettaja,15;Kansakoulunopettaja,40;Kansakoulunopettaja,60;Kansakoulunopettaja,80;Kansakoulunopettaja,100;Kansakoulunopettaja,100;Kansakoulunopettaja,100;Opettaja,100;Opettaja,100;Opettaja,100
Kotiopettajatar,15;Kotiopettajatar,20;Kotiopettajatar,25;Kotiopettajatar,20;Kotiopettajatar,10;-,0;-,0;-,0;-,0;-,0;-,0
Lastenhoitaja,20;Lastenhoitaja,30;Lastenhoitaja,40;Lastenhoitaja,50;Lastenhoitaja,70;Lastenhoitaja,80;Lastenhoitaja,90;Lastenhoitaja,100;Päiväkotityöntekijä,70;Päiväkotityöntekijä,90;Päiväkotityöntekijä,100
Kauppa-apulainen,0;Kauppa-apulainen,5;Kauppa-apulainen,15;Kauppa-apulainen,40;Kauppa-apulainen,70;Kauppa-apulainen,90;Myyjä,100;Myyjä,100;Myyjä,100;Myyjä,100;Myyjä,100
Konttoristi,0;-,0;Konttoristi,5;Konttoristi,15;Konttoristi,40;Konttoristi,70;Konttoristi,90;Konttoristi,100;Toimistovirkailija,100;Toimistovirkailija,100;Toimistovirkailija,100
Puhelinvälittäjä,0;-,0;-,0;Puhelinvälittäjä,10;Puhelinvälittäjä,40;Puhelinvälittäjä,70;Puhelinvälittäjä,90;Puhelinvälittäjä,100;Puhelinvälittäjä,80;Puhelinvälittäjä,40;-,0
Lennätinvirkailija,0;Lennätinvirkailija,5;Lennätinvirkailija,10;Lennätinvirkailija,15;Lennätinvirkailija,20;Lennätinvirkailija,20;-,0;-,0;-,0;-,0;-,0
Konekirjoittaja,0;-,0;-,0;-,0;Konekirjoittaja,20;Konekirjoittaja,50;Konekirjoittaja,80;Konekirjoittaja,100;Konekirjoittaja,90;Konekirjoittaja,60;-,0
Siivooja,30;Siivooja,30;Siivooja,40;Siivooja,50;Siivooja,60;Siivooja,70;Siivooja,80;Siivooja,90;Siivooja,100;Siivooja,100;Siivooja,100
Tehdastyöläinen,5;Tehdastyöläinen,15;Tehdastyöläinen,40;Tehdastyöläinen,70;Tehdastyöläinen,100;Tehdastyöläinen,100;Tehdastyöläinen,100;Tehdastyöläinen,100;Tehdastyöläinen,100;Tehdastyöläinen,90;Tehdastyöläinen,80
Tulitikkutyöntekijä,5;Tulitikkutyöntekijä,15;Tulitikkutyöntekijä,30;Tulitikkutyöntekijä,40;Tulitikkutyöntekijä,30;-,0;-,0;-,0;-,0;-,0;-,0
Tupakkatehtaan työntekijä,10;Tupakkatehtaan työntekijä,20;Tupakkatehtaan työntekijä,30;Tupakkatehtaan työntekijä,40;Tupakkatehtaan työntekijä,40;Tupakkatehtaan työntekijä,30;-,0;-,0;-,0;-,0;-,0
Tarjoilija,0;Tarjoilija,5;Tarjoilija,10;Tarjoilija,25;Tarjoilija,50;Tarjoilija,70;Tarjoilija,90;Tarjoilija,100;Tarjoilija,100;Tarjoilija,100;Tarjoilija,100
Hotellisiivooja,5;Hotellisiivooja,10;Hotellisiivooja,15;Kerroshoitaja,30;Kerroshoitaja,50;Kerroshoitaja,70;Kerroshoitaja,80;Kerroshoitaja,90;Kerroshoitaja,100;Kerroshoitaja,100;Kerroshoitaja,100
Kylvettäjä,20;Kylvettäjä,20;Kylvettäjä,25;Kylvettäjä,30;Kylvettäjä,30;Kylvettäjä,20;Saunottaja,30;Saunottaja,40;Saunottaja,30;Saunottaja,20;-,0
Kampaaja,0;-,0;Parturi,5;Parturi,15;Kampaaja,30;Kampaaja,50;Kampaaja,70;Kampaaja,90;Kampaaja,100;Kampaaja,100;Kampaaja,100
Apteekkiharjoittelija,0;Apteekkiharjoittelija,5;Apteekkiharjoittelija,10;Farmaseutti,20;Farmaseutti,40;Farmaseutti,60;Farmaseutti,80;Farmaseutti,90;Farmaseutti,100;Farmaseutti,100;Farmaseutti,100
Hammaslääkäri,0;-,0;-,0;Hammaslääkäri,5;Hammaslääkäri,15;Hammaslääkäri,30;Hammaslääkäri,40;Hammaslääkäri,60;Hammaslääkäri,80;Hammaslääkäri,90;Hammaslääkäri,100
Lääkäri,0;-,0;-,0;-,0;Lääkäri,5;Lääkäri,10;Lääkäri,20;Lääkäri,35;Lääkäri,50;Lääkäri,70;Lääkäri,90
Valokuvaaja,0;-,0;Valokuvaaja,5;Valokuvaaja,10;Valokuvaaja,20;Valokuvaaja,30;Valokuvaaja,40;Valokuvaaja,50;Valokuvaaja,60;Valokuvaaja,50;Valokuvaaja,50
Kirjailija,2;Kirjailija,2;Kirjailija,5;Kirjailija,10;Kirjailija,15;Kirjailija,20;Kirjailija,25;Kirjailija,30;Kirjailija,30;Kirjailija,30;Kirjailija,30
Taiteilija,2;Taiteilija,5;Taiteilija,10;Taiteilija,15;Taiteilija,20;Taiteilija,25;Taiteilija,30;Taiteilija,35;Taiteilija,40;Taiteilija,40;Taiteilija,40
Näyttelijä,2;Näyttelijä,5;Näyttelijä,10;Näyttelijä,20;Näyttelijä,30;Näyttelijä,40;Näyttelijä,50;Näyttelijä,60;Näyttelijä,60;Näyttelijä,60;Näyttelijä,60
Laulajatar,5;Laulajatar,5;Laulajatar,10;Laulajatar,15;Laulajatar,20;Laulajatar,25;Laulaja,30;Laulaja,30;Laulaja,30;Laulaja,30;Laulaja,30
Kotiompelija,50;Kotiompelija,50;Kotiompelija,60;Kotiompelija,70;Kotiompelija,70;Kotiompelija,60;Kotiompelija,40;-,0;-,0;-,0;-,0
Pitsinnyplääjä,20;Pitsinnyplääjä,20;Pitsinnyplääjä,15;Pitsinnyplääjä,10;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Syytinkiläinen,60;Syytinkiläinen,60;Syytinkiläinen,50;Syytinkiläinen,40;Syytinkiläinen,30;Syytinkiläinen,20;Eläkeläinen,20;Eläkeläinen,40;Eläkeläinen,60;Eläkeläinen,80;Eläkeläinen,100
Huutolainen,40;Huutolainen,35;Huutolainen,25;Huutolainen,10;Huutolainen,5;-,0;-,0;-,0;-,0;-,0;-,0
Kerjäläinen,30;Kerjäläinen,20;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Kotiäiti,50;Kotiäiti,50;Kotiäiti,50;Kotiäiti,60;Kotiäiti,70;Kotiäiti,80;Kotiäiti,90;Kotiäiti,100;Kotiäiti,100;Kotiäiti,100;Kotiäiti,90
Kehruumestari,10;Kehruumestari,15;Kehruumestari,20;-,0;-,0;-,0;-,0;-,0;-,0;-,0;-,0
Lastaaja,10;Lastaaja,15;Lastaaja,20;Lastaaja,20;Lastaaja,15;-,0;-,0;-,0;-,0;-,0;-,0
Kukkienmyyjä,5;Kukkienmyyjä,5;Kukkienmyyjä,10;Kukkienmyyjä,15;Kukkienmyyjä,20;Kukkienmyyjä,25;Kukkamyyjä,30;Kukkamyyjä,30;Kukkamyyjä,30;Kukkamyyjä,30;Kukkamyyjä,30
Laborantti,0;-,0;-,0;-,0;-,0;-,0;Laborantti,10;Laborantti,20;Laborantti,40;Laborantti,60;Laborantti,80
