1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
Johannes,122;Johannes,129;Johannes,121;Johannes,102;Johannes,87;Johannes,66;Johannes,53
Oskari,24;Oskari,26;Oskari,28;Oskari,26;Olavi,25;Olavi,40;Olavi,50
Iisakki,24;Iisakki,21;Vihtori,20;Vihtori,19;Oskari,20;Vihtori,15;Eemil,15
Vilhelmi,20;Vihtori,19;Iisakki,19;Eemil,15;Vihtori,17;Eemil,15;Kalervo,14
Vihtori,19;Vilhelmi,18;Eemil,16;Vilhelm,13;Eemil,14;Ilmari,13;Ilmari,14
Matti,17;Eemil,14;Vilhelmi,13;Ilmari,12;Ilmari,12;Artturi,11;Antero,14
Antti,16;Antti,13;Johan,12;Artturi,11;Artturi,11;Oskari,11;Sakari,12
Eemil,13;Matti,13;Kustaa,11;Kustaa,10;Kustaa,9;Armas,10;Allan,11
Kustaa,13;Kustaa,12;Vilhelm,11;Valfrid,8;Einar,8;Einar,10;Armas,11
Juho,12;Juho,10;Matti,10;Erik,8;Armas,8;Matti,9;Juhani,11
Emanuel,11;Jalmari,9;Jalmari,9;Jalmari,8;Matti,8;Antero,9;Tapani,11
Heikki,11;Herman,9;Herman,8;Matti,8;Valfrid,7;Kalervo,8;Kalevi,10
Erik,10;Emanuel,8;Antti,8;Armas,8;Jalmari,7;Sakari,8;Artturi,9
Johan,10;Erik,8;Valfrid,7;Einar,8;August,7;Eerik,8;Eerik,8
Herman,8;Aleksanteri,8;Aleksanteri,7;August,7;Eerik,7;Vilho,7;Valdemar,8
Aleksanteri,7;Heikki,7;Juho,7;Eerik,7;Vilho,7;Valdemar,7;Reino,8
August,6;Aukusti,6;August,6;Aleksanteri,7;Paavo,7;Reino,7;Matti,8
Eerik,6;August,6;Aukusti,6;Juhana,6;Sulo,7;Juhani,6;Einar,7
Jalmari,6;Adolf,5;Erik,6;Vilho,6;Eino,6;Paavo,6;Paavo,7
Aukusti,5;Iivari,5;Iivari,6;Oskar,6;Antero,6;Aukusti,6;Vilho,7
Iivari,5;Juhana,5;Eerik,5;Aukusti,6;Aleksanteri,6;Tapani,6;Erik,6
Jaakko,5;Oskar,5;Oskar,5;Paavo,6;Aukusti,6;Sulo,6;Kustaa,6
Pekka,5;Jaakko,4;Sulo,4;Sulo,6;Hjalmar,6;Hjalmar,5;Sulo,6
