1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Aminoff,10;Aminoff,10;Aminoff,10;Aminoff,10;Aminoff,9;Aminoff,8;Aminoff,8;Aminoff,7;Aminoff,7;Aminoff,7;Aminoff,7
Brummer,8;Brummer,8;Brummer,8;Brummer,8;Brummer,7;Brummer,6;Brummer,6;Brummer,5;Brummer,5;Brummer,5;Brummer,5
Castrén,15;Castrén,15;Castrén,16;Castrén,18;Castrén,18;Castrén,15;Castrén,14;Castrén,12;Castrén,12;Castrén,11;Castrén,10
Colliander,12;Colliander,12;Colliander,12;Colliander,11;Colliander,10;Colliander,9;Colliander,8;Colliander,8;Colliander,7;Colliander,7;Colliander,7
Donner,10;Donner,10;Donner,11;Donner,12;Donner,12;Donner,11;Donner,10;Donner,9;Donner,9;Donner,8;Donner,8
Ehrnrooth,8;Ehrnrooth,8;Ehrnrooth,8;Ehrnrooth,9;Ehrnrooth,10;Ehrnrooth,10;Ehrnrooth,9;Ehrnrooth,8;Ehrnrooth,8;Ehrnrooth,8;Ehrnrooth,8
Enckell,9;Enckell,9;Enckell,10;Enckell,10;Enckell,10;Enckell,9;Enckell,8;Enckell,7;Enckell,7;Enckell,7;Enckell,7
Fazer,5;Fazer,6;Fazer,8;Fazer,10;Fazer,12;Fazer,14;Fazer,15;Fazer,15;Fazer,14;Fazer,14;Fazer,13
Gripenberg,12;Gripenberg,12;Gripenberg,12;Gripenberg,11;Gripenberg,10;Gripenberg,9;Gripenberg,8;Gripenberg,7;Gripenberg,7;Gripenberg,6;Gripenberg,6
Gummerus,10;Gummerus,10;Gummerus,11;Gummerus,12;Gummerus,10;Gummerus,8;Gummerus,7;Gummerus,6;Gummerus,6;Gummerus,5;Gummerus,5
Hackman,15;Hackman,15;Hackman,15;Hackman,15;Hackman,14;Hackman,13;Hackman,12;Hackman,11;Hackman,10;Hackman,10;Hackman,10
Idestam,8;Idestam,8;Idestam,9;Idestam,10;Idestam,8;Idestam,6;Idestam,5;Idestam,4;Idestam,4;Idestam,3;Idestam,3
Krogius,12;Krogius,12;Krogius,13;Krogius,14;Krogius,12;Krogius,11;Krogius,10;Krogius,9;Krogius,8;Krogius,8;Krogius,8
Linder,10;Linder,10;Linder,10;Linder,10;Linder,9;Linder,8;Linder,8;Linder,7;Linder,7;Linder,6;Linder,6
Mannerheim,6;Mannerheim,6;Mannerheim,7;Mannerheim,8;Mannerheim,10;Mannerheim,12;Mannerheim,12;Mannerheim,10;Mannerheim,10;Mannerheim,8;Mannerheim,8
Mechelin,8;Mechelin,8;Mechelin,8;Mechelin,7;Mechelin,6;Mechelin,4;Mechelin,3;Mechelin,2;Mechelin,2;Mechelin,1;Mechelin,1
Palander,12;Palander,12;Palander,12;Palander,13;Palander,10;Palander,8;Palander,6;Palander,4;Palander,4;Palander,3;Palander,2
Procopé,9;Procopé,9;Procopé,10;Procopé,10;Procopé,9;Procopé,8;Procopé,8;Procopé,7;Procopé,7;Procopé,7;Procopé,7
Ramsay,10;Ramsay,10;Ramsay,10;Ramsay,10;Ramsay,9;Ramsay,8;Ramsay,8;Ramsay,7;Ramsay,7;Ramsay,7;Ramsay,7
Rehbinder,8;Rehbinder,8;Rehbinder,8;Rehbinder,8;Rehbinder,7;Rehbinder,7;Rehbinder,6;Rehbinder,5;Rehbinder,5;Rehbinder,5;Rehbinder,5
Rosenlew,12;Rosenlew,12;Rosenlew,13;Rosenlew,14;Rosenlew,15;Rosenlew,15;Rosenlew,14;Rosenlew,13;Rosenlew,12;Rosenlew,12;Rosenlew,11
Schauman,15;Schauman,15;Schauman,16;Schauman,18;Schauman,15;Schauman,14;Schauman,13;Schauman,12;Schauman,12;Schauman,11;Schauman,10
Serlachius,10;Serlachius,11;Serlachius,12;Serlachius,14;Serlachius,15;Serlachius,15;Serlachius,14;Serlachius,13;Serlachius,12;Serlachius,11;Serlachius,11
Snellman,25;Snellman,25;Snellman,26;Snellman,28;Snellman,22;Snellman,18;Snellman,15;Snellman,12;Snellman,10;Snellman,9;Snellman,8
Stackelberg,7;Stackelberg,7;Stackelberg,7;Stackelberg,7;Stackelberg,6;Stackelberg,5;Stackelberg,5;Stackelberg,4;Stackelberg,4;Stackelberg,4;Stackelberg,4
Standertskjöld,8;Standertskjöld,8;Standertskjöld,8;Standertskjöld,8;Standertskjöld,7;Standertskjöld,6;Standertskjöld,5;Standertskjöld,4;Standertskjöld,4;Standertskjöld,4;Standertskjöld,4
Stockmann,5;Stockmann,6;Stockmann,8;Stockmann,10;Stockmann,12;Stockmann,14;Stockmann,15;Stockmann,15;Stockmann,14;Stockmann,14;Stockmann,13
Ståhlberg,15;Ståhlberg,16;Ståhlberg,18;Ståhlberg,20;Ståhlberg,22;Ståhlberg,25;Ståhlberg,22;Ståhlberg,20;Ståhlberg,18;Ståhlberg,17;Ståhlberg,16
Tandefelt,8;Tandefelt,8;Tandefelt,8;Tandefelt,8;Tandefelt,7;Tandefelt,6;Tandefelt,5;Tandefelt,4;Tandefelt,4;Tandefelt,4;Tandefelt,4
Tigerstedt,10;Tigerstedt,10;Tigerstedt,11;Tigerstedt,12;Tigerstedt,11;Tigerstedt,10;Tigerstedt,9;Tigerstedt,8;Tigerstedt,8;Tigerstedt,7;Tigerstedt,7
von Wendt,6;von Wendt,6;von Wendt,7;von Wendt,8;von Wendt,8;von Wendt,8;von Wendt,7;von Wendt,6;von Wendt,6;von Wendt,6;von Wendt,6
von Wright,8;von Wright,8;von Wright,9;von Wright,10;von Wright,10;von Wright,10;von Wright,9;von Wright,8;von Wright,8;von Wright,8;von Wright,8
Wrede,10;Wrede,10;Wrede,10;Wrede,10;Wrede,9;Wrede,8;Wrede,8;Wrede,7;Wrede,7;Wrede,7;Wrede,7
Zilliacus,12;Zilliacus,12;Zilliacus,13;Zilliacus,14;Zilliacus,12;Zilliacus,10;Zilliacus,8;Zilliacus,7;Zilliacus,6;Zilliacus,6;Zilliacus,6
