1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Airas,0;Airas,0;Airas,0;Airas,1;Airas,5;Airas,12;Airas,18;Airas,22;Airas,22;Airas,20;Airas,18
Alaja,0;Alaja,0;Alaja,0;Alaja,1;Alaja,4;Alaja,8;Alaja,12;Alaja,15;Alaja,15;Alaja,14;Alaja,12
Arajärvi,0;Arajärvi,0;Arajärvi,0;Arajärvi,2;Arajärvi,6;Arajärvi,10;Arajärvi,15;Arajärvi,18;Arajärvi,18;Arajärvi,16;Arajärvi,14
Aulanko,0;Aulanko,0;Aulanko,0;Aulanko,1;Aulanko,3;Aulanko,6;Aulanko,10;Aulanko,12;Aulanko,12;Aulanko,11;Aulanko,10
Haarla,0;Haarla,0;Haarla,1;Haarla,3;Haarla,8;Haarla,15;Haarla,22;Haarla,28;Haarla,28;Haarla,26;Haarla,24
Harmaja,0;Harmaja,0;Harmaja,0;Harmaja,2;Harmaja,5;Harmaja,12;Harmaja,18;Harmaja,22;Harmaja,22;Harmaja,20;Harmaja,18
Havulinna,0;Havulinna,0;Havulinna,0;Havulinna,1;Havulinna,4;Havulinna,8;Havulinna,12;Havulinna,15;Havulinna,15;Havulinna,14;Havulinna,12
Helasvuo,0;Helasvuo,0;Helasvuo,0;Helasvuo,0;Helasvuo,2;Helasvuo,5;Helasvuo,10;Helasvuo,12;Helasvuo,12;Helasvuo,11;Helasvuo,10
Hiidenheimo,0;Hiidenheimo,0;Hiidenheimo,0;Hiidenheimo,2;Hiidenheimo,6;Hiidenheimo,10;Hiidenheimo,14;Hiidenheimo,16;Hiidenheimo,16;Hiidenheimo,15;Hiidenheimo,14
Honkajuuri,0;Honkajuuri,0;Honkajuuri,0;Honkajuuri,1;Honkajuuri,4;Honkajuuri,8;Honkajuuri,12;Honkajuuri,15;Honkajuuri,15;Honkajuuri,14;Honkajuuri,12
Iisalo,0;Iisalo,0;Iisalo,0;Iisalo,1;Iisalo,4;Iisalo,10;Iisalo,15;Iisalo,18;Iisalo,18;Iisalo,16;Iisalo,14
Jalas,0;Jalas,0;Jalas,0;Jalas,2;Jalas,6;Jalas,12;Jalas,18;Jalas,22;Jalas,22;Jalas,20;Jalas,18
Kalliala,0;Kalliala,0;Kalliala,0;Kalliala,1;Kalliala,5;Kalliala,10;Kalliala,15;Kalliala,18;Kalliala,18;Kalliala,16;Kalliala,14
Kairamo,0;Kairamo,0;Kairamo,0;Kairamo,1;Kairamo,4;Kairamo,10;Kairamo,15;Kairamo,18;Kairamo,18;Kairamo,16;Kairamo,14
Kalela,0;Kalela,0;Kalela,0;Kalela,1;Kalela,4;Kalela,8;Kalela,12;Kalela,15;Kalela,15;Kalela,14;Kalela,12
Kivikoski,0;Kivikoski,0;Kivikoski,1;Kivikoski,4;Kivikoski,12;Kivikoski,22;Kivikoski,35;Kivikoski,42;Kivikoski,42;Kivikoski,40;Kivikoski,38
Kivirinne,0;Kivirinne,0;Kivirinne,0;Kivirinne,2;Kivirinne,6;Kivirinne,12;Kivirinne,18;Kivirinne,22;Kivirinne,22;Kivirinne,20;Kivirinne,18
Kuusi,0;Kuusi,0;Kuusi,1;Kuusi,5;Kuusi,15;Kuusi,25;Kuusi,35;Kuusi,42;Kuusi,45;Kuusi,42;Kuusi,40
Lähdevuori,0;Lähdevuori,0;Lähdevuori,0;Lähdevuori,1;Lähdevuori,4;Lähdevuori,8;Lähdevuori,12;Lähdevuori,15;Lähdevuori,15;Lähdevuori,14;Lähdevuori,12
Leikola,0;Leikola,0;Leikola,0;Leikola,1;Leikola,5;Leikola,10;Leikola,15;Leikola,18;Leikola,18;Leikola,16;Leikola,14
Linkola,0;Linkola,0;Linkola,0;Linkola,2;Linkola,8;Linkola,15;Linkola,22;Linkola,28;Linkola,28;Linkola,26;Linkola,24
Linnankoski,0;Linnankoski,0;Linnankoski,0;Linnankoski,1;Linnankoski,4;Linnankoski,8;Linnankoski,12;Linnankoski,15;Linnankoski,15;Linnankoski,14;Linnankoski,12
Louhivuori,0;Louhivuori,0;Louhivuori,0;Louhivuori,2;Louhivuori,8;Louhivuori,15;Louhivuori,22;Louhivuori,28;Louhivuori,28;Louhivuori,26;Louhivuori,24
Merenheimo,0;Merenheimo,0;Merenheimo,0;Merenheimo,1;Merenheimo,3;Merenheimo,6;Merenheimo,10;Merenheimo,12;Merenheimo,12;Merenheimo,11;Merenheimo,10
Nuorteva,0;Nuorteva,0;Nuorteva,0;Nuorteva,2;Nuorteva,6;Nuorteva,12;Nuorteva,18;Nuorteva,22;Nuorteva,22;Nuorteva,20;Nuorteva,18
Oras,0;Oras,0;Oras,0;Oras,1;Oras,4;Oras,8;Oras,12;Oras,15;Oras,15;Oras,14;Oras,12
Paasikivi,0;Paasikivi,0;Paasikivi,1;Paasikivi,5;Paasikivi,10;Paasikivi,18;Paasikivi,25;Paasikivi,32;Paasikivi,35;Paasikivi,32;Paasikivi,30
