1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
Juho,129;Juho,125;Juho,100;Juho,67;Eino,45;Eino,50;Veikko,41
Kalle,49;Kalle,56;Kalle,51;Kalle,41;Väinö,42;Toivo,43;Eino,39
Matti,46;Matti,44;Matti,40;Matti,30;Toivo,36;Väinö,37;Erkki,35
Johan,44;Antti,42;Antti,38;Väinö,30;Juho,31;Veikko,33;Toivo,31
Antti,43;Johan,34;Johan,29;Antti,27;Kalle,30;Tauno,26;Pentti,28
Heikki,32;Heikki,30;Otto,27;Otto,27;Lauri,29;Lauri,25;Väinö,27
Karl,32;Frans,27;Frans,27;Johan,22;Yrjö,27;Viljo,24;Martti,25
Frans,29;Karl,26;Heikki,26;Frans,22;Vilho,23;Reino,24;Lauri,24
Kustaa,28;Kustaa,25;Karl,23;Emil,20;Matti,22;Vilho,23;Reino,23
Pekka,20;Otto,22;Kustaa,21;Karl,19;Aarne,19;Erkki,21;Matti,22
August,18;Pekka,19;August,18;Johannes,19;Otto,19;Arvo,20;Tauno,21
Otto,18;August,17;Johannes,17;Yrjö,19;Paavo,18;Martti,20;Viljo,21
Mikko,15;Jaakko,16;Emil,16;Toivo,19;Antti,17;Aarne,19;Vilho,20
Jaakko,15;Vihtori,15;Pekka,15;Lauri,18;Arvo,16;Onni,19;Kauko,19
-,0;Johannes,14;Jaakko,13;Heikki,18;Johannes,15;Matti,18;Paavo,18
-,0;Taavetti,13;Väinö,13;Eino,17;Martti,15;Yrjö,17;Arvo,17
-,0;Herman,11;Oskar,11;Kustaa,14;Viljo,14;Paavo,17;Heikki,17
-,0;Emil,11;Vihtori,11;August,13;Uuno,14;Kalle,16;Yrjö,16
-,0;Mikko,11;Mikko,11;Vilho,12;Emil,13;Sulo,16;Eero,15
-,0;Oskari,11;Taavetti,10;Jaakko,11;Heikki,13;Uuno,13;Olavi,15
-,0;Ville,9;Kaarlo,10;Pekka,11;Kaarlo,13;Antti,13;Aarne,14
-,0;Paavo,8;Oskari,9;Kaarlo,10;Onni,13;Niilo,13;Onni,14
-,0;Kaarle,8;Herman,9;Paavo,9;Frans,12;Heikki,12;Antti,14
-,0;Kaarlo,8;Jalmari,9;Oskar,9;Johan,12;Eero,12;Kaarlo,13
-,0;Aukusti,7;Paavo,8;Vihtori,8;Karl,11;Kaarlo,12;Niilo,12
-,0;Oskar,7;Anton,8;Jalmari,8;Veikko,11;Olavi,11;Jaakko,11
-,0;Anton,7;Viktor,8;Mikko,8;Niilo,10;Juho,11;Esko,11
-,0;Tuomas,7;Edvard,8;Aarne,8;Jaakko,10;Jaakko,10;Pauli,11
-,0;Viktor,7;Ville,7;Niilo,8;Erkki,10;Armas,10;Sulo,10
-,0;Anders,6;Aukusti,7;Arvo,7;Sulo,10;Otto,10;Kalle,10
-,0;Olli,6;Kaarle,7;Edvard,7;Armas,10;Pentti,9;Unto,9
-,0;Erik,6;Tuomas,6;Onni,7;Eero,9;Kauko,9;Oiva,9
-,0;Erkki,6;Eemil,6;Hugo,7;Tauno,9;Oiva,9;Leo,8
-,0;Edvard,6;Toivo,6;Taavetti,7;Arvi,8;Johannes,8;Arvi,8
-,0;Juhana,5;Lauri,6;Viktor,7;Reino,8;Arvi,8;Uuno,7
-,0;Aleksanteri,5;Yrjö,5;Armas,6;Kustaa,7;Urho,8;Aimo,7
-,0;Vilhelm,5;Vilhelm,5;Anton,6;Urho,7;Karl,7;Urho,7
-,0;Fredrik,5;Aleksanteri,5;Eemil,6;Jalmari,6;Pauli,6;Armas,7
-,0;Eemil,5;Erik,5;Uuno,6;Einar,6;Leo,6;Karl,7
