1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
Maria,124;Maria,102;Anna,96;Anna,82;Anna,62;Anna,40;Anna,36
Anna,90;Anna,96;Maria,71;Ida,44;Martta,34;Aili,33;Aino,32
Ida,60;Ida,65;Ida,59;Hilma,43;Hilja,33;Aino,33;Aune,25
Amanda,54;Amanda,42;Hilda,46;Maria,40;Tyyne,33;Tyyne,29;Kerttu,24
Vilhelmiina,27;Hilma,39;Hilma,46;Hilda,34;Aino,32;Aune,28;Aili,23
Hilda,26;Hilda,38;Olga,29;Hilja,33;Helmi,32;Helmi,26;Eila,22
Johanna,25;Olga,26;Amanda,26;Olga,28;Aili,24;Martta,26;Hilkka,22
Matilda,25;Iida,24;Iida,25;Aino,24;Hilma,24;Hilja,22;Helvi,19
Hilma,22;Matilda,22;Alma,20;Iida,21;Ida,22;Kerttu,20;Sirkka,19
Edla,21;Johanna,19;Selma,20;Lempi,20;Lempi,21;Helvi,20;Eeva,19
Eeva,19;Vilhelmiina,18;Hilja,20;Helmi,19;Elsa,20;Lempi,19;Toini,18
Sofia,18;Alma,16;Aina,18;Martta,19;Maria,20;Vieno,18;Helmi,18
Helena,17;Edla,16;Aino,15;Elsa,18;Hilda,19;Elsa,16;Irja,17
Emma,16;Emma,16;Johanna,14;Alma,17;Olga,18;Toini,16;Martta,16
Iida,16;Aina,14;Matilda,14;Selma,16;Aune,14;Sylvi,15;Tyyne,16
Olga,15;Eeva,13;Hulda,13;Aina,16;Elli,14;Irja,15;Rauha,14
Liisa,14;Aleksandra,13;Emma,13;Tyyne,15;Iida,13;Rauha,13;Taimi,14
Aleksandra,13;Helena,13;Fanny,12;Fanny,13;Alma,13;Taimi,13;Vieno,14
Kaisa,13;Kaisa,13;Edla,11;Saima,13;Saima,12;Elli,12;Elsa,13
Eva,9;Selma,11;Eeva,11;Lydia,12;Ester,12;Hilma,12;Maire,13
Emilia,9;Emilia,11;Helena,10;Hanna,11;Kerttu,12;Lyyli,11;Hilja,13
Sanna,8;Liisa,11;Vilhelmiina,10;Jenny,10;Jenny,12;Eeva,11;Lempi,11
Alma,8;Sofia,10;Kaisa,9;Amanda,10;Aina,11;Saimi,11;Sylvi,11
Erika,8;Hulda,9;Lydia,9;Hulda,9;Lyyli,11;Laina,10;Elli,11
Miina,8;Sanna,8;Elin,8;Emma,9;Katri,11;Anni,10;Anni,11
Karoliina,8;Alina,8;Elsa,8;Anni,9;Saimi,11;Hilkka,9;Alli,10
Amalia,7;Katri,8;Hanna,8;Ester,9;Siiri,11;Siiri,9;Anja,10
Katri,7;Miina,8;Aleksandra,8;Johanna,8;Hanna,10;Elma,9;Kirsti,9
Selma,7;Fanny,7;Alina,8;Lyyli,8;Selma,10;Impi,9;Terttu,9
Maija,6;Amalia,6;Liisa,8;Lyydia,8;Anni,10;Jenny,9;Liisa,8
Kustaava,6;Eva,6;Katri,7;Eeva,8;Fanny,9;Katri,9;Elma,8
Anni,6;Aino,6;Miina,7;Katri,8;Impi,8;Maria,9;Irma,8
Hulda,6;Lydia,6;Emilia,7;Elin,8;Eeva,8;Saima,9;Laina,8
Leena,6;Elin,5;Helmi,7;Matilda,7;Sylvi,8;Ida,9;Elvi,8
Josefiina,6;Hanna,5;Lyydia,7;Helena,7;Alli,8;Sirkka,9;Saara,8
-,0;Karoliina,5;Sofia,7;Elli,7;Ellen,7;Hilda,8;Katri,7
-,0;Anni,5;Anni,6;Edla,7;Rauha,7;Alli,8;Saimi,7
-,0;Lyydia,5;Tilda,6;Kaisa,7;Toini,7;Bertta,8;Siiri,7
-,0;Augusta,5;Lempi,6;Edit,6;Lydia,6;Ester,8;Meeri,7
-,0;Elsa,4;Eva,5;Siiri,6;Vieno,6;Lahja,7;Lahja,7
-,0;Maija,4;Sanna,5;Impi,6;Laina,6;Olga,7;Hilma,6
-,0;Susanna,4;Aliina,4;Signe,6;Helvi,6;Elvi,6;Maija,6
-,0;Leena,4;Amalia,4;Ellen,6;Elna,6;Hanna,6;Helli,6
-,0;Riitta,4;Jenny,4;Alina,6;Taimi,5;Maire,6;Lyyli,6
-,0;Josefiina,4;Martta,4;Sigrid,5;Edit,5;Iida,6;Aini,6
-,0;Tilda,4;Saima,4;Tilda,5;Signe,5;Alma,5;Hilda,5
-,0;Elina,4;Sigrid,4;Emilia,4;Irja,5;Meeri,5;Mirjam,5
-,0;Vilhelmina,3;Tyyne,4;Eva,4;Hulda,5;Laura,5;Bertta,5
-,0;Erika,3;Fanni,3;Rauha,4;Lyydia,5;Helga,5;Helga,5
-,0;Aliina,3;Josefiina,3;Liisa,4;Elma,5;Selma,5;Annikki,5
