1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29
Maria,157;Maria,138;Maria,107;Maria,82;Maria,63;Maria,42;Maria,32
Sofia,64;Sofia,56;Sofia,46;Maria,41;Maria,33;Helena,23;Annikki,23
Johanna,44;Johanna,39;Kristiina,32;Johanna,30;Helena,23;Orvokki,20;Marjatta,22
Kristiina,38;Kristiina,36;Johanna,31;Helena,25;Sofia,19;Marjatta,19;Kaarina,20
Matilda,28;Matilda,28;Matilda,26;Sofia,23;Liisa,16;Kaarina,19;Tellervo,18
Lovisa,26;Vilhelmiina,23;Vilhelmiina,21;Kristiina,17;Vilhelmiina,15;Annikki,18;Helena,15
Vilhelmiina,23;Lovisa,21;Elisabet,18;Elisabet,15;Elisabet,15;Tellervo,15;Inkeri,14
Karoliina,21;Karoliina,20;Loviisa,18;Matilda,15;Johanna,14;Inkeri,15;Orvokki,14
Amalia,19;Elisabet,19;Karoliina,18;Vilhelmiina,14;Eeva,12;Liisa,14;Sinikka,13
Elisabet,19;Amalia,18;Amalia,17;Loviisa,12;Kaarina,12;Sofia,11;Eeva,13
Kustaava,17;Eeva,15;Eeva,13;Karoliina,11;Kyllikki,12;Kyllikki,10;Kyllikki,12
Eeva,16;Kustaava,15;Helena,12;Eeva,11;Ester,11;Esteri,9;Liisa,12
Helena,15;Helena,15;Kustaava,10;Sofia,10;Karoliina,10;Ilona,9;Terttu,11
Josefiina,14;Josefiina,14;Josefiina,10;Ester,10;Matilda,10;Tyyne,9;Ilona,9
Augusta,11;Augusta,10;Hanna,9;Iida,10;Inkeri,10;Eeva,9;Vuokko,8
Henriikka,10;Henriikka,10;Iida,9;Hanna,9;Loviisa,9;Rauha,8;Mirjami,8
Erika,10;Erika,10;Olga,9;Lyydia,9;Lyydia,9;Aino,8;Tuulikki,8
Sanna,10;Sofia,9;Lyydia,8;Olga,8;Saimi,9;Taimi,8;Marjatta,8
Liisa,9;Sanna,9;Hilda,7;Esteri,7;Iida,9;Saimi,8;Maija,8
Hulda,8;Olga,9;Erika,7;Hilda,7;Rauha,8;Elisabet,8;Taimi,8
Olga,8;Hanna,8;Sanna,7;Amalia,7;Esteri,8;Lyydia,7;Sofia,7
Hanna,7;Iida,8;Amanda,7;Kustaava,7;Hanna,8;Loviisa,7;Elisabet,7
Amanda,7;Hulda,8;Selma,7;Aino,6;Aino,8;Helmi,7;Esteri,7
Justiina,6;Amanda,7;Augusta,6;Amanda,6;Olga,8;Martta,7;Loviisa,7
Ottilia,6;Ottilia,6;Henriikka,6;Augusta,6;Hilja,7;Hilja,6;Aino,7
Vendla,6;Vendla,6;Hulda,6;Saimi,6;Helmi,7;Impi,6;Aune,7
Adolfiina,6;Hilma,5;Ottilia,6;Helmi,6;Tyyne,7;Johanna,6;Leena,6
Fredriika,5;Selma,5;Hilma,5;Tyyne,6;Martta,7;Anna,6;Martta,6
Albertina,5;Lyydia,5;Alma,5;Selma,6;Saima,7;Saima,6;Helmi,6
-,0;Albertina,5;Viktoria,5;Anna,6;Amanda,6;Vieno,6;Kerttu,6
-,0;Lydia,5;Lydia,5;Aliina,5;Amalia,6;Ester,6;Saima,6
-,0;Edla,5;Edit,5;Sanna,5;Lempi,6;Kerttu,6;Aulikki,6
-,0;Hilda,5;Anna,5;Aliina,5;Kerttu,6;Vilhelmiina,6;Rauha,6
-,0;Alina,4;Aina,4;Esteri,5;Laina,6;Olga,6;Anna,6
-,0;Aina,4;Aliina,4;Hilja,5;Taimi,6;Sirkka,5;Ritva,6
-,0;Liisa,4;Saima,4;Rauha,5;Anna,6;Lahja,5;Helvi,6
-,0;Viktoria,4;Elina,4;Hulda,5;Helga,5;Hanna,5;Vieno,5
-,0;Selma,4;Emilia,4;Alina,5;Lyydi,5;Karoliina,5;Irja,5
-,0;Loviisa,4;Selma,4;Laina,5;Alina,5;Kaisa,5;Sirkka,5
-,0;Elina,4;Ida,4;Impi,5;Elsa,5;Elli,5;Laina,5
-,0;Anna,3;Hulda,4;Saimi,5;Vieno,5;Aune,5;Lempi,5
-,0;Kaisa,3;Impi,4;Alma,4;Edit,5;Alli,5;Kaisa,5
-,0;Sandra,3;Laina,4;Anni,4;Tilda,5;Meeri,5;Hilja,5
-,0;Maija,3;Alina,4;Elin,4;Sirkka,5;Elina,5;Alli,5
-,0;Ida,3;Aliina,3;Elina,4;Augusta,4;Iida,5;Saimi,5
-,0;Emma,3;Tilda,3;Anni,4;Elina,4;Salme,5;Toini,5
-,0;Tilda,3;Tilda,3;Lyydi,4;Ellen,4;Katri,5;Tyyne,5
-,0;Susanna,3;Suoma,3;Vieno,4;Alli,4;Sirkka,5;Lahja,4
-,0;Rosa,3;Saimi,3;Edit,4;Impi,4;Elin,4;Raili,4
-,0;Heta,3;Elli,3;Taimi,4;Anni,4;Elsi,4;Lyydia,4
-,0;Katriina,3;Jenny,3;Hilma,4;Lahja,4;Aila,4;Elsa,4
-,0;Sanni,3;Martta,3;Elli,4;Siiri,4;Toini,4;Helena,4
-,0;Roosa,3;Siiri,3;Ida,4;Hilda,4;Lempi,4;Hilkka,4
-,0;Jenny,3;Sanni,3;Siiri,3;Maija,4;Rauha,4;Marja,4
-,0;Stiina,3;Vendla,3;Signe,3;Kaisa,4;Lyydi,4;Rauni,4
