1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Repin,12;Repin,12;Repin,11;Repin,10;Repin,8;Repin,5;Repin,3;Repin,2;Repin,2;Repin,2;Repin,2
Kasatshkin,15;Kasatshkin,15;Kasatshkin,14;Kasatshkin,10;Kasatshkin,4;Kasatshkin,1;Kasatshkin,0;Kasatshkin,0;Kasatshkin,0;Kasatshkin,0;Kasatshkin,0
Bulat,4;Bulat,4;Bulat,4;Bulat,4;Bulat,5;Bulat,5;Bulat,4;Bulat,3;Bulat,3;Bulat,3;Bulat,2
Kusnetsov,20;Kusnetsov,18;Kusnetsov,15;Kusnetsov,10;Kusnetsov,4;Kusnetsov,1;Kusnetsov,0;Kusnetsov,0;Kusnetsov,0;Kusnetsov,0;Kusnetsov,0
Sinebrychoff,10;Sinebrychoff,10;Sinebrychoff,10;Sinebrychoff,10;Sinebrychoff,9;Sinebrychoff,8;Sinebrychoff,8;Sinebrychoff,7;Sinebrychoff,5;Sinebrychoff,4;Sinebrychoff,3
Pavlov,8;Pavlov,8;Pavlov,7;Pavlov,5;Pavlov,3;Pavlov,2;Pavlov,2;Pavlov,2;Pavlov,2;Pavlov,2;Pavlov,1
Ignatjeff,6;Ignatjeff,6;Ignatjeff,6;Ignatjeff,5;Ignatjeff,3;Ignatjeff,2;Ignatjeff,1;Ignatjeff,1;Ignatjeff,1;Ignatjeff,1;Ignatjeff,1
Uschakoff,10;Uschakoff,10;Uschakoff,9;Uschakoff,7;Uschakoff,3;Uschakoff,1;Uschakoff,0;Uschakoff,0;Uschakoff,0;Uschakoff,0;Uschakoff,0
Tshokkinen,12;Tshokkinen,12;Tshokkinen,11;Tshokkinen,10;Tshokkinen,8;Tshokkinen,7;Tshokkinen,5;Tshokkinen,4;Tshokkinen,3;Tshokkinen,3;Tshokkinen,2
Härkönen,45;Härkönen,46;Härkönen,47;Härkönen,48;Härkönen,50;Härkönen,52;Härkönen,55;Härkönen,58;Härkönen,58;Härkönen,55;Härkönen,52
Huovinen,38;Huovinen,39;Huovinen,40;Huovinen,42;Huovinen,45;Huovinen,48;Huovinen,52;Huovinen,55;Huovinen,55;Huovinen,52;Huovinen,50
Pesu,20;Pesu,21;Pesu,22;Pesu,23;Pesu,25;Pesu,28;Pesu,30;Pesu,32;Pesu,32;Pesu,30;Pesu,28
Sotikov,15;Sotikov,15;Sotikov,14;Sotikov,10;Sotikov,6;Sotikov,3;Sotikov,1;Sotikov,0;Sotikov,0;Sotikov,0;Sotikov,0
Fomin,12;Fomin,12;Fomin,11;Fomin,10;Fomin,7;Fomin,4;Fomin,2;Fomin,1;Fomin,1;Fomin,1;Fomin,1
Pimenoff,8;Pimenoff,8;Pimenoff,8;Pimenoff,7;Pimenoff,5;Pimenoff,3;Pimenoff,2;Pimenoff,1;Pimenoff,1;Pimenoff,1;Pimenoff,1
Karhu,25;Karhu,26;Karhu,27;Karhu,30;Karhu,35;Karhu,40;Karhu,45;Karhu,48;Karhu,48;Karhu,45;Karhu,42
Hattu,10;Hattu,10;Hattu,11;Hattu,12;Hattu,14;Hattu,15;Hattu,15;Hattu,14;Hattu,12;Hattu,10;Hattu,8
Romanoff,6;Romanoff,6;Romanoff,6;Romanoff,5;Romanoff,3;Romanoff,1;Romanoff,0;Romanoff,0;Romanoff,0;Romanoff,0;Romanoff,0
Kondratjeff,8;Kondratjeff,8;Kondratjeff,7;Kondratjeff,6;Kondratjeff,4;Kondratjeff,2;Kondratjeff,1;Kondratjeff,1;Kondratjeff,1;Kondratjeff,1;Kondratjeff,1
Matvejeff,10;Matvejeff,10;Matvejeff,9;Matvejeff,8;Matvejeff,5;Matvejeff,3;Matvejeff,1;Matvejeff,1;Matvejeff,1;Matvejeff,0;Matvejeff,0
