1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Alanko,10;Alanko,12;Alanko,15;Alanko,22;Alanko,35;Alanko,48;Alanko,58;Alanko,65;Alanko,65;Alanko,62;Alanko,60
Alatalo,15;Alatalo,16;Alatalo,18;Alatalo,22;Alatalo,32;Alatalo,42;Alatalo,52;Alatalo,58;Alatalo,58;Alatalo,55;Alatalo,52
Eskola,18;Eskola,19;Eskola,20;Eskola,25;Eskola,35;Eskola,48;Eskola,58;Eskola,65;Eskola,68;Eskola,65;Eskola,62
Hannula,22;Hannula,23;Hannula,25;Hannula,32;Hannula,45;Hannula,58;Hannula,72;Hannula,82;Hannula,85;Hannula,82;Hannula,78
Heikkilä,35;Heikkilä,36;Heikkilä,40;Heikkilä,45;Heikkilä,62;Heikkilä,85;Heikkilä,105;Heikkilä,115;Heikkilä,115;Heikkilä,110;Heikkilä,105
Hietala,12;Hietala,13;Hietala,15;Hietala,18;Hietala,28;Hietala,38;Hietala,48;Hietala,55;Hietala,58;Hietala,55;Hietala,52
Huhtala,10;Huhtala,11;Huhtala,12;Huhtala,15;Huhtala,25;Huhtala,35;Huhtala,45;Huhtala,52;Huhtala,55;Huhtala,52;Huhtala,50
Ilomäki,5;Ilomäki,6;Ilomäki,8;Ilomäki,12;Ilomäki,18;Ilomäki,25;Ilomäki,32;Ilomäki,38;Ilomäki,38;Ilomäki,35;Ilomäki,32
Isotalo,12;Isotalo,12;Isotalo,13;Isotalo,15;Isotalo,18;Isotalo,22;Isotalo,25;Isotalo,28;Isotalo,28;Isotalo,26;Isotalo,24
Jaakkola,25;Jaakkola,26;Jaakkola,28;Jaakkola,35;Jaakkola,52;Jaakkola,72;Jaakkola,88;Jaakkola,98;Jaakkola,100;Jaakkola,95;Jaakkola,90
Junttila,8;Junttila,9;Junttila,10;Junttila,12;Junttila,15;Junttila,22;Junttila,28;Junttila,32;Junttila,32;Junttila,30;Junttila,28
Jutila,6;Jutila,7;Jutila,8;Jutila,10;Jutila,14;Jutila,18;Jutila,22;Jutila,25;Jutila,25;Jutila,24;Jutila,22
Kantola,15;Kantola,16;Kantola,17;Kantola,20;Kantola,28;Kantola,38;Kantola,48;Kantola,55;Kantola,58;Kantola,55;Kantola,52
Karjala,10;Karjala,11;Karjala,12;Karjala,15;Karjala,22;Karjala,32;Karjala,42;Karjala,48;Karjala,52;Karjala,50;Karjala,48
Ketola,18;Ketola,19;Ketola,20;Ketola,25;Ketola,38;Ketola,52;Ketola,65;Ketola,75;Ketola,78;Ketola,75;Ketola,72
Kivelä,8;Kivelä,10;Kivelä,15;Kivelä,22;Kivelä,35;Kivelä,48;Kivelä,58;Kivelä,65;Kivelä,65;Kivelä,62;Kivelä,60
Koivula,5;Koivula,8;Koivula,12;Koivula,22;Koivula,38;Koivula,55;Koivula,72;Koivula,82;Koivula,85;Koivula,82;Koivula,78
Korpela,20;Korpela,21;Korpela,22;Korpela,25;Korpela,35;Korpela,48;Korpela,58;Korpela,65;Korpela,68;Korpela,65;Korpela,62
Koskela,25;Koskela,27;Koskela,32;Koskela,42;Koskela,65;Koskela,88;Koskela,115;Koskela,135;Koskela,138;Koskela,132;Koskela,125
Kujala,15;Kujala,16;Kujala,18;Kujala,22;Kujala,32;Kujala,45;Kujala,55;Kujala,62;Kujala,65;Kujala,62;Kujala,60
Kuusisto,2;Kuusisto,5;Kuusisto,12;Kuusisto,25;Kuusisto,48;Kuusisto,68;Kuusisto,85;Kuusisto,95;Kuusisto,98;Kuusisto,95;Kuusisto,90
Lahti,20;Lahti,22;Lahti,25;Lahti,35;Lahti,55;Lahti,78;Lahti,95;Lahti,105;Lahti,108;Lahti,105;Lahti,100
Laitila,12;Laitila,13;Laitila,14;Laitila,16;Laitila,22;Laitila,32;Laitila,42;Laitila,48;Laitila,48;Laitila,45;Laitila,42
Lampinen,18;Lampinen,19;Lampinen,20;Lampinen,25;Lampinen,35;Lampinen,48;Lampinen,58;Lampinen,65;Lampinen,68;Lampinen,65;Lampinen,62
Lassila,15;Lassila,16;Lassila,17;Lassila,20;Lassila,28;Lassila,38;Lassila,48;Lassila,55;Lassila,58;Lassila,55;Lassila,52
Latvala,10;Latvala,11;Latvala,12;Latvala,14;Latvala,18;Latvala,25;Latvala,32;Latvala,38;Latvala,38;Latvala,35;Latvala,32
Laurila,22;Laurila,23;Laurila,25;Laurila,32;Laurila,45;Laurila,58;Laurila,72;Laurila,82;Laurila,85;Laurila,82;Laurila,78
Lepistö,4;Lepistö,8;Lepistö,15;Lepistö,25;Lepistö,42;Lepistö,62;Lepistö,78;Lepistö,88;Lepistö,90;Lepistö,85;Lepistö,82
Mattila,45;Mattila,46;Mattila,48;Mattila,55;Mattila,78;Mattila,110;Mattila,135;Mattila,148;Mattila,150;Mattila,145;Mattila,138
Mikkola,28;Mikkola,29;Mikkola,32;Mikkola,38;Mikkola,52;Mikkola,72;Mikkola,88;Mikkola,98;Mikkola,100;Mikkola,95;Mikkola,90
Mäenpää,10;Mäenpää,12;Mäenpää,18;Mäenpää,28;Mäenpää,45;Mäenpää,65;Mäenpää,82;Mäenpää,92;Mäenpää,95;Mäenpää,92;Mäenpää,88
Niemi,15;Niemi,18;Niemi,25;Niemi,42;Niemi,75;Niemi,105;Niemi,125;Niemi,135;Niemi,132;Niemi,125;Niemi,115
Nisula,12;Nisula,13;Nisula,14;Nisula,15;Nisula,18;Nisula,22;Nisula,28;Nisula,32;Nisula,32;Nisula,30;Nisula,28
Ojala,18;Ojala,20;Ojala,25;Ojala,35;Ojala,55;Ojala,75;Ojala,88;Ojala,98;Ojala,100;Ojala,95;Ojala,90
Peltola,15;Peltola,16;Peltola,18;Peltola,28;Peltola,42;Peltola,58;Peltola,72;Peltola,82;Peltola,85;Peltola,82;Peltola,78
Penttilä,22;Penttilä,23;Penttilä,25;Penttilä,32;Penttilä,45;Penttilä,58;Penttilä,72;Penttilä,82;Penttilä,85;Penttilä,82;Penttilä,78
Perttula,10;Perttula,11;Perttula,12;Perttula,14;Perttula,18;Perttula,25;Perttula,32;Perttula,38;Perttula,38;Perttula,35;Perttula,32
Pietilä,20;Pietilä,21;Pietilä,23;Pietilä,28;Pietilä,35;Pietilä,48;Pietilä,58;Pietilä,65;Pietilä,68;Pietilä,65;Pietilä,62
