1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Adler,8;Adler,8;Adler,7;Adler,5;Adler,3;Adler,1;Adler,1;Adler,1;Adler,1;Adler,0;Adler,0
Alm,12;Alm,12;Alm,11;Alm,8;Alm,4;Alm,2;Alm,1;Alm,1;Alm,1;Alm,1;Alm,1
Backlund,20;Backlund,20;Backlund,18;Backlund,15;Backlund,8;Backlund,4;Backlund,2;Backlund,1;Backman,1;Backman,1;Backman,1
Bergström,35;Bergström,34;Bergström,32;Bergström,25;Bergström,15;Bergström,8;Bergström,5;Bergström,3;Bergström,2;Bergström,2;Bergström,2
Blom,15;Blom,15;Blom,14;Blom,10;Blom,5;Blom,2;Blom,1;Blom,1;Blom,1;Blom,1;Blom,1
Borg,18;Borg,18;Borg,17;Borg,15;Borg,8;Borg,4;Borg,2;Borg,1;Borg,1;Borg,1;Borg,1
Boström,22;Boström,22;Boström,20;Boström,15;Boström,8;Boström,4;Boström,2;Boström,1;Boström,1;Boström,1;Boström,1
Dahl,12;Dahl,12;Dahl,11;Dahl,8;Dahl,4;Dahl,2;Dahl,1;Dahl,1;Dahl,1;Dahl,1;Dahl,1
Eklöf,10;Eklöf,10;Eklöf,9;Eklöf,7;Eklöf,3;Eklöf,1;Eklöf,1;Eklöf,0;Eklöf,0;Eklöf,0;Eklöf,0
Engström,18;Engström,18;Engström,16;Engström,12;Engström,6;Engström,3;Engström,1;Engström,1;Engström,1;Engström,1;Engström,1
Eriksson,45;Eriksson,44;Eriksson,40;Eriksson,30;Eriksson,15;Eriksson,10;Eriksson,8;Eriksson,5;Eriksson,4;Eriksson,3;Eriksson,3
Forsman,25;Forsman,25;Forsman,22;Forsman,15;Forsman,8;Forsman,4;Forsman,2;Forsman,1;Forsman,1;Forsman,1;Forsman,1
Granlund,14;Granlund,14;Granlund,13;Granlund,10;Granlund,5;Granlund,2;Granlund,1;Granlund,1;Granlund,1;Granlund,0;Granlund,0
Hagström,12;Hagström,12;Hagström,11;Hagström,8;Hagström,4;Hagström,1;Hagström,0;Hagström,0;Hagström,0;Hagström,0;Hagström,0
Holmberg,28;Holmberg,27;Holmberg,25;Holmberg,18;Holmberg,10;Holmberg,5;Holmberg,3;Holmberg,2;Holmberg,2;Holmberg,2;Holmberg,2
Karlsson,55;Karlsson,54;Karlsson,50;Karlsson,42;Karlsson,25;Karlsson,18;Karlsson,12;Karlsson,10;Karlsson,8;Karlsson,6;Karlsson,5
Lagerlöf,8;Lagerlöf,8;Lagerlöf,7;Lagerlöf,5;Lagerlöf,2;Lagerlöf,1;Lagerlöf,0;Lagerlöf,0;Lagerlöf,0;Lagerlöf,0;Lagerlöf,0
Lax,10;Lax,10;Lax,9;Lax,8;Lax,6;Lax,4;Lax,3;Lax,2;Lax,2;Lax,2;Lax,1
Lillqvist,12;Lillqvist,12;Lillqvist,11;Lillqvist,9;Lillqvist,6;Lillqvist,4;Lillqvist,3;Lillqvist,2;Lillqvist,2;Lillqvist,1;Lillqvist,1
Malm,15;Malm,15;Malm,14;Malm,11;Malm,6;Malm,3;Malm,2;Malm,1;Malm,1;Malm,1;Malm,1
Nordström,30;Nordström,30;Nordström,28;Nordström,22;Nordström,12;Nordström,6;Nordström,3;Nordström,2;Nordström,2;Nordström,1;Nordström,1
Nyholm,18;Nyholm,18;Nyholm,16;Nyholm,12;Nyholm,7;Nyholm,4;Nyholm,2;Nyholm,1;Nyholm,1;Nyholm,1;Nyholm,1
Öhman,20;Öhman,20;Öhman,18;Öhman,14;Öhman,8;Öhman,4;Öhman,2;Öhman,1;Öhman,1;Öhman,1;Öhman,1
Rehn,10;Rehn,10;Rehn,9;Rehn,8;Rehn,6;Rehn,4;Rehn,3;Rehn,2;Rehn,2;Rehn,2;Rehn,2
Sandström,16;Sandström,16;Sandström,15;Sandström,12;Sandström,6;Sandström,3;Sandström,1;Sandström,1;Sandström,1;Sandström,1;Sandström,1
Stenberg,22;Stenberg,22;Stenberg,20;Stenberg,15;Stenberg,8;Stenberg,4;Stenberg,2;Stenberg,1;Stenberg,1;Stenberg,1;Stenberg,1
Tallqvist,12;Tallqvist,12;Tallqvist,11;Tallqvist,9;Tallqvist,5;Tallqvist,2;Tallqvist,1;Tallqvist,1;Tallqvist,1;Tallqvist,1;Tallqvist,1
Vikström,18;Vikström,18;Vikström,16;Vikström,12;Vikström,7;Vikström,4;Vikström,2;Vikström,1;Vikström,1;Vikström,1;Vikström,1
Wideman,10;Wideman,10;Wideman,9;Wideman,7;Wideman,4;Wideman,1;Wideman,0;Wideman,0;Wideman,0;Wideman,0;Wideman,0
Zetterman,8;Zetterman,8;Zetterman,7;Zetterman,5;Zetterman,2;Zetterman,1;Zetterman,0;Zetterman,0;Zetterman,0;Zetterman,0;Zetterman,0
