1860-69;1870-79;1880-89;1890-99;1900-09;1910-19;1920-29;1930-39;1940-49;1950-59;1960-69
Aalto,0;Aalto,1;Aalto,5;Aalto,15;Aalto,45;Aalto,65;Aalto,75;Aalto,82;Aalto,80;Aalto,78;Aalto,75
Aaltonen,1;Aaltonen,3;Aaltonen,10;Aaltonen,25;Aaltonen,55;Aaltonen,75;Aaltonen,85;Aaltonen,90;Aaltonen,88;Aaltonen,85;Aaltonen,80
Aho,10;Aho,12;Aho,15;Aho,22;Aho,45;Aho,65;Aho,75;Aho,80;Aho,78;Aho,75;Aho,72
Ahola,5;Ahola,7;Ahola,12;Ahola,20;Ahola,35;Ahola,50;Ahola,55;Ahola,60;Ahola,62;Ahola,60;Ahola,58
Ahonen,25;Ahonen,26;Ahonen,28;Ahonen,32;Ahonen,45;Ahonen,55;Ahonen,65;Ahonen,70;Ahonen,72;Ahonen,70;Ahonen,68
Anttila,35;Anttila,34;Anttila,33;Anttila,35;Anttila,45;Anttila,55;Anttila,65;Anttila,68;Anttila,68;Anttila,65;Anttila,62
Eerola,12;Eerola,13;Eerola,15;Eerola,18;Eerola,25;Eerola,35;Eerola,42;Eerola,45;Eerola,45;Eerola,42;Eerola,40
Eronen,18;Eronen,19;Eronen,20;Eronen,22;Eronen,25;Eronen,28;Eronen,32;Eronen,35;Eronen,35;Eronen,32;Eronen,30
Eskola,20;Eskola,21;Eskola,23;Eskola,25;Eskola,32;Eskola,42;Eskola,48;Eskola,50;Eskola,50;Eskola,48;Eskola,45
Haapala,8;Haapala,9;Haapala,12;Haapala,18;Haapala,28;Haapala,38;Haapala,45;Haapala,48;Haapala,48;Haapala,45;Haapala,42
Hakala,15;Hakala,16;Hakala,20;Hakala,32;Hakala,55;Hakala,75;Hakala,85;Hakala,90;Hakala,88;Hakala,85;Hakala,82
Hämäläinen,55;Hämäläinen,56;Hämäläinen,58;Hämäläinen,62;Hämäläinen,75;Hämäläinen,85;Hämäläinen,95;Hämäläinen,105;Hämäläinen,108;Hämäläinen,105;Hämäläinen,102
Hannula,14;Hannula,15;Hannula,16;Hannula,18;Hannula,25;Hannula,32;Hannula,38;Hannula,42;Hannula,42;Hannula,40;Hannula,38
Harju,2;Harju,4;Harju,8;Harju,15;Harju,28;Harju,38;Harju,45;Harju,50;Harju,50;Harju,48;Harju,46
Hartikainen,28;Hartikainen,29;Hartikainen,30;Hartikainen,32;Hartikainen,35;Hartikainen,42;Hartikainen,48;Hartikainen,52;Hartikainen,52;Hartikainen,50;Hartikainen,48
Heikkilä,35;Heikkilä,36;Heikkilä,38;Heikkilä,42;Heikkilä,55;Heikkilä,70;Heikkilä,80;Heikkilä,85;Heikkilä,85;Heikkilä,82;Heikkilä,80
Heikkinen,45;Heikkinen,46;Heikkinen,47;Heikkinen,50;Heikkinen,58;Heikkinen,68;Heikkinen,75;Heikkinen,85;Heikkinen,88;Heikkinen,85;Heikkinen,82
Heino,0;Heino,1;Heino,4;Heino,12;Heino,32;Heino,48;Heino,58;Heino,65;Heino,65;Heino,62;Heino,60
Heinonen,10;Heinonen,12;Heinonen,18;Heinonen,32;Heinonen,58;Heinonen,78;Heinonen,90;Heinonen,95;Heinonen,95;Heinonen,92;Heinonen,88
Heiskanen,32;Heiskanen,33;Heiskanen,34;Heiskanen,36;Heiskanen,40;Heiskanen,45;Heiskanen,52;Heiskanen,58;Heiskanen,58;Heiskanen,55;Heiskanen,52
Helin,5;Helin,6;Helin,8;Helin,15;Helin,25;Helin,35;Helin,42;Helin,45;Helin,45;Helin,42;Helin,40
Hietala,18;Hietala,18;Hietala,19;Hietala,22;Hietala,32;Hietala,45;Hietala,55;Hietala,62;Hietala,65;Hietala,62;Hietala,60
Hiltunen,38;Hiltunen,39;Hiltunen,40;Hiltunen,42;Hiltunen,48;Hiltunen,55;Hiltunen,65;Hiltunen,75;Hiltunen,78;Hiltunen,75;Hiltunen,72
Hirvonen,25;Hirvonen,26;Hirvonen,28;Hirvonen,30;Hirvonen,38;Hirvonen,48;Hirvonen,58;Hirvonen,65;Hirvonen,65;Hirvonen,62;Hirvonen,60
Holopainen,22;Holopainen,23;Holopainen,24;Holopainen,26;Holopainen,32;Holopainen,38;Holopainen,45;Holopainen,52;Holopainen,52;Holopainen,50;Holopainen,48
