1860–69,1870–79,1880–89,1890–99,1900–09,1910–19,1920–29
Maria,Maria,Anna,Anna,Anna,Anna,Anna
Anna,Anna,Maria,Ida,Martta,Aili,Aino
Ida,Ida,Ida,Hilma,Hilja,Aino,Aune
Amanda,Amanda,Hilda,Maria,Tyyne,Tyyne,Kerttu
Vilhelmiina,Hilma,Hilma,Hilda,Aino,Aune,Aili
Hilda,Hilda,Olga,Hilja,Helmi,Helmi,Eila
Johanna,Olga,Amanda,Olga,Aili,Martta,Hilkka
Matilda,Iida,Iida,Aino,Hilma,Hilja,Helvi
Hilma,Matilda,Alma,Iida,Ida,Kerttu,Sirkka
Edla,Johanna,Selma,Lempi,Lempi,Helvi,Eeva
Eeva,Vilhelmiina,Hilja,Helmi,Elsa,Lempi,Toini
Sofia,Alma,Aina,Martta,Maria,Vieno,Helmi
Helena,Edla,Aino,Elsa,Hilda,Elsa,Irja
Emma,Emma,Johanna,Alma,Olga,Toini,Martta
Iida,Aina,Matilda,Selma,Aune,Sylvi,Tyyne
Olga,Eeva,Hulda,Aina,Elli,Irja,Rauha
Liisa,Aleksandra,Emma,Tyyne,Iida,Rauha,Taimi
Aleksandra,Helena,Fanny,Fanny,Alma,Taimi,Vieno
Kaisa,Kaisa,Edla,Saima,Saima,Elli,Elsa
Eva,Selma,Eeva,Lydia,Ester,Hilma,Maire
Emilia,Emilia,Helena,Hanna,Kerttu,Lyyli,Hilja
Sanna,Liisa,Vilhelmiina,Jenny,Jenny,Eeva,Lempi
Alma,Sofia,Kaisa,Amanda,Aina,Saimi,Sylvi
Erika,Hulda,Lydia,Hulda,Lyyli,Laina,Elli
Miina,Sanna,Elin,Emma,Katri,Anni,Anni
Karoliina,Alina,Elsa,Anni,Saimi,Hilkka,Alli
Amalia,Katri,Hanna,Ester,Siiri,Siiri,Anja
Katri,Miina,Aleksandra,Johanna,Hanna,Elma,Kirsti
Selma,Fanny,Alina,Lyyli,Selma,Impi,Terttu
Maija,Amalia,Liisa,Lyydia,Anni,Jenny,Liisa
Kustaava,Eva,Katri,Eeva,Fanny,Katri,Elma
Anni,Aino,Miina,Katri,Impi,Maria,Irma
Hulda,Lydia,Emilia,Elin,Eeva,Saima,Laina
Leena,Elin,Helmi,Matilda,Sylvi,Ida,Elvi
Josefiina,Hanna,Lyydia,Helena,Alli,Sirkka,Saara
,Karoliina,Sofia,Elli,Ellen,Hilda,Katri
,Anni,Anni,Edla,Rauha,Alli,Saimi
,Lyydia,Tilda,Kaisa,Toini,Bertta,Siiri
,Augusta,Lempi,Edit,Lydia,Ester,Meeri
,Elsa,Eva,Siiri,Vieno,Lahja,Lahja
,Maija,Sanna,Impi,Laina,Olga,Hilma
,Susanna,Aliina,Signe,Helvi,Elvi,Maija
,Leena,Amalia,Ellen,Elna,Hanna,Helli
,Riitta,Jenny,Alina,Taimi,Maire,Lyyli
,Josefiina,Martta,Sigrid,Edit,Iida,Aini
,Tilda,Saima,Tilda,Signe,Alma,Hilda
,Elina,Sigrid,Emilia,Irja,Meeri,Mirjam
,Vilhelmina,Tyyne,Eva,Hulda,Laura,Bertta
